task_type,steps,threshold,corruption_rate,enable_thresholding,enable_remasking,diffusion_bleu,baseline_bleu,bleu_delta,diffusion_rouge1,baseline_rouge1,rouge1_delta,final_masked_tokens,final_mean_confidence
denoising,25,0.9,0.5,True,False,0.2373,0.26,-0.0227,0.2945,0.3281,-0.0336,45.0,0.5436
denoising,25,0.9,0.6,True,False,0.2291,0.2344,-0.0052,0.2782,0.3057,-0.0276,48.0,0.5155
denoising,25,0.9,0.7,True,False,0.2077,0.2386,-0.0309,0.2427,0.3031,-0.0604,77.0,0.3931
denoising,30,0.9,0.1,True,False,0.3569,0.3677,-0.0108,0.3974,0.4092,-0.0118,8.0,0.7188
denoising,30,0.9,0.3,True,False,0.2601,0.3289,-0.0689,0.2992,0.3786,-0.0794,21.0,0.6538
denoising,30,0.9,0.5,True,False,0.1815,0.2185,-0.037,0.2309,0.2942,-0.0633,49.0,0.5274
denoising,30,0.9,0.6,True,False,0.1682,0.1909,-0.0227,0.234,0.2854,-0.0514,69.0,0.454
denoising,30,0.9,0.7,True,False,0.1579,0.1599,-0.002,0.2115,0.2371,-0.0256,73.0,0.4075
denoising,65,0.9,0.1,True,False,0.4289,0.4201,0.0088,0.4411,0.4352,0.006,2.0,0.6842
denoising,65,0.9,0.3,True,False,0.2891,0.2909,-0.0018,0.3465,0.3594,-0.0129,17.0,0.6545
denoising,65,0.9,0.5,True,False,0.2304,0.2508,-0.0204,0.2713,0.321,-0.0497,36.0,0.5868
denoising,65,0.9,0.6,True,False,0.1872,0.2091,-0.0218,0.2105,0.2609,-0.0504,63.0,0.4351
denoising,65,0.9,0.7,True,False,0.1936,0.2253,-0.0317,0.2297,0.2898,-0.0601,71.0,0.4402
