task_type,steps,threshold,corruption_rate,enable_thresholding,enable_remasking,diffusion_bleu,baseline_bleu,bleu_delta,diffusion_rouge1,baseline_rouge1,rouge1_delta,final_masked_tokens,final_mean_confidence
denoising,1,0.8,0.3,True,False,0.299,0.345,-0.046,0.3481,0.3891,-0.041,23.0,0.6286
denoising,1,0.8,0.5,True,False,0.2576,0.2241,0.0335,0.3188,0.299,0.0198,46.0,0.5445
denoising,1,0.8,0.6,True,False,0.1969,0.2314,-0.0345,0.249,0.2965,-0.0475,64.0,0.4534
denoising,3,0.8,0.1,True,False,0.4332,0.4307,0.0025,0.4451,0.4442,0.0009,0.0,0.6881
denoising,3,0.8,0.3,True,False,0.3385,0.3431,-0.0046,0.3824,0.3864,-0.004,7.0,0.7038
denoising,3,0.8,0.5,True,False,0.1691,0.2358,-0.0667,0.2262,0.2762,-0.05,49.0,0.5422
denoising,3,0.8,0.6,True,False,0.1928,0.206,-0.0132,0.2363,0.2565,-0.0203,54.0,0.5132
denoising,5,0.8,0.1,True,False,0.3713,0.3733,-0.0019,0.4103,0.4121,-0.0019,3.0,0.706
denoising,5,0.8,0.3,True,False,0.2659,0.2391,0.0268,0.3325,0.2989,0.0336,16.0,0.6542
denoising,5,0.8,0.5,True,False,0.2446,0.1996,0.045,0.2829,0.2639,0.019,35.0,0.5834
denoising,5,0.8,0.6,True,False,0.1789,0.1693,0.0096,0.2073,0.2103,-0.003,51.0,0.5242
denoising,10,0.8,0.1,True,False,0.3615,0.3624,-0.0009,0.4002,0.401,-0.0009,2.0,0.6828
denoising,10,0.8,0.3,True,False,0.2606,0.2813,-0.0206,0.3043,0.346,-0.0417,19.0,0.6603
denoising,10,0.8,0.5,True,False,0.253,0.2435,0.0095,0.3145,0.327,-0.0125,31.0,0.6165
denoising,10,0.8,0.6,True,False,0.2583,0.2633,-0.005,0.2826,0.3083,-0.0257,45.0,0.5519
denoising,15,0.8,0.1,True,False,0.3323,0.4109,-0.0785,0.3578,0.4286,-0.0707,7.0,0.7063
denoising,15,0.8,0.3,True,False,0.2719,0.273,-0.0011,0.3048,0.3107,-0.0059,16.0,0.6639
denoising,15,0.8,0.5,True,False,0.1992,0.2074,-0.0082,0.271,0.2886,-0.0175,46.0,0.5592
denoising,15,0.8,0.6,True,False,0.1837,0.1987,-0.015,0.2434,0.2786,-0.0352,44.0,0.5432
denoising,20,0.8,0.1,True,False,0.3484,0.3557,-0.0073,0.3934,0.4012,-0.0078,4.0,0.6922
denoising,20,0.8,0.3,True,False,0.3114,0.3331,-0.0217,0.3606,0.3839,-0.0233,15.0,0.6834
denoising,20,0.8,0.5,True,False,0.2292,0.2459,-0.0167,0.2634,0.305,-0.0416,29.0,0.5955
denoising,20,0.8,0.6,True,False,0.2893,0.2751,0.0142,0.3263,0.329,-0.0027,39.0,0.5799
denoising,25,0.8,0.1,True,False,0.3458,0.3526,-0.0068,0.3914,0.3992,-0.0078,6.0,0.6712
denoising,25,0.8,0.3,True,False,0.3724,0.3912,-0.0188,0.3985,0.4165,-0.018,16.0,0.6845
denoising,25,0.8,0.5,True,False,0.1913,0.2074,-0.0161,0.2466,0.2883,-0.0417,37.0,0.5842
denoising,25,0.8,0.6,True,False,0.1979,0.2231,-0.0252,0.2373,0.2724,-0.035,47.0,0.5403
denoising,30,0.8,0.1,True,False,0.3785,0.3743,0.0042,0.4073,0.4053,0.002,2.0,0.6823
denoising,30,0.8,0.3,True,False,0.3138,0.3222,-0.0084,0.3398,0.3669,-0.0271,15.0,0.6778
denoising,30,0.8,0.5,True,False,0.2365,0.2886,-0.0521,0.27,0.335,-0.065,36.0,0.5885
denoising,30,0.8,0.6,True,False,0.1754,0.1873,-0.0119,0.2051,0.2349,-0.0298,58.0,0.5072
denoising,65,0.8,0.1,True,False,0.4136,0.414,-0.0004,0.4316,0.4325,-0.0009,2.0,0.6834
denoising,65,0.8,0.3,True,False,0.2772,0.3295,-0.0523,0.3128,0.3605,-0.0477,15.0,0.6762
denoising,65,0.8,0.5,True,False,0.2425,0.2532,-0.0107,0.2823,0.3087,-0.0264,40.0,0.5663
denoising,65,0.8,0.6,True,False,0.1663,0.1784,-0.0121,0.2221,0.2434,-0.0213,40.0,0.5576
denoising,1,0.9,0.1,True,False,0.3429,0.3614,-0.0185,0.3868,0.4033,-0.0165,8.0,0.6914
denoising,1,0.9,0.3,True,False,0.2411,0.2548,-0.0137,0.3076,0.3303,-0.0226,25.0,0.6351
denoising,1,0.9,0.5,True,False,0.2615,0.278,-0.0164,0.3036,0.334,-0.0303,50.0,0.5036
denoising,1,0.9,0.6,True,False,0.1529,0.1579,-0.005,0.2052,0.2041,0.001,73.0,0.4373
denoising,3,0.9,0.1,True,False,0.4103,0.426,-0.0157,0.4269,0.4398,-0.0129,6.0,0.7054
denoising,3,0.9,0.3,True,False,0.2894,0.2992,-0.0098,0.3379,0.3519,-0.014,19.0,0.6755
denoising,3,0.9,0.5,True,False,0.2656,0.2863,-0.0207,0.2778,0.3375,-0.0597,48.0,0.5632
denoising,3,0.9,0.6,True,False,0.1661,0.1535,0.0126,0.2149,0.2186,-0.0037,66.0,0.4553
denoising,5,0.9,0.1,True,False,0.3619,0.37,-0.0082,0.395,0.4065,-0.0115,7.0,0.6825
denoising,5,0.9,0.3,True,False,0.2846,0.2931,-0.0085,0.3305,0.3601,-0.0296,13.0,0.6896
denoising,5,0.9,0.5,True,False,0.2533,0.2663,-0.0131,0.2786,0.3118,-0.0332,42.0,0.5714
denoising,5,0.9,0.6,True,False,0.1872,0.1854,0.0019,0.2432,0.2544,-0.0112,62.0,0.4986
denoising,10,0.9,0.1,True,False,0.382,0.3856,-0.0036,0.4114,0.4168,-0.0054,4.0,0.6986
denoising,10,0.9,0.3,True,False,0.2541,0.2568,-0.0027,0.3209,0.3262,-0.0053,22.0,0.6664
denoising,10,0.9,0.5,True,False,0.2187,0.2301,-0.0114,0.2618,0.2807,-0.0189,43.0,0.5665
denoising,10,0.9,0.6,True,False,0.1632,0.1731,-0.0099,0.2013,0.2435,-0.0422,55.0,0.5171
denoising,15,0.9,0.1,True,False,0.3589,0.3594,-0.0005,0.4009,0.4026,-0.0017,6.0,0.7019
denoising,15,0.9,0.3,True,False,0.2608,0.3264,-0.0655,0.3036,0.3819,-0.0783,22.0,0.6548
denoising,15,0.9,0.5,True,False,0.2116,0.2432,-0.0316,0.2545,0.3027,-0.0482,44.0,0.5474
denoising,15,0.9,0.6,True,False,0.214,0.2075,0.0065,0.2553,0.2987,-0.0434,56.0,0.5062
denoising,20,0.9,0.1,True,False,0.3189,0.3564,-0.0375,0.3644,0.3986,-0.0342,6.0,0.6998
denoising,20,0.9,0.3,True,False,0.3149,0.3453,-0.0304,0.3409,0.3914,-0.0505,20.0,0.6474
denoising,20,0.9,0.5,True,False,0.2387,0.2514,-0.0127,0.2804,0.2938,-0.0134,33.0,0.6072
denoising,20,0.9,0.6,True,False,0.1809,0.2145,-0.0336,0.1989,0.2671,-0.0682,58.0,0.4927
denoising,25,0.9,0.1,True,False,0.4215,0.4281,-0.0066,0.4355,0.4412,-0.0057,6.0,0.7126
denoising,25,0.9,0.3,True,False,0.3313,0.3567,-0.0255,0.3789,0.3984,-0.0196,19.0,0.6615
denoising,25,0.9,0.5,True,False,0.2366,0.2757,-0.0391,0.2748,0.3335,-0.0588,44.0,0.5597
denoising,25,0.9,0.6,True,False,0.2091,0.2281,-0.019,0.2277,0.2562,-0.0286,59.0,0.5016
denoising,30,0.9,0.1,True,False,0.3414,0.3518,-0.0104,0.3875,0.3984,-0.0109,9.0,0.7113
denoising,30,0.9,0.3,True,False,0.292,0.2914,0.0005,0.3458,0.3522,-0.0064,14.0,0.6831
denoising,30,0.9,0.5,True,False,0.2398,0.2433,-0.0035,0.2956,0.3289,-0.0333,50.0,0.5272
denoising,30,0.9,0.6,True,False,0.2109,0.2154,-0.0045,0.2367,0.2521,-0.0154,53.0,0.5068
denoising,65,0.9,0.1,True,False,0.3481,0.35,-0.0019,0.393,0.3953,-0.0023,7.0,0.6878
denoising,65,0.9,0.3,True,False,0.3054,0.2934,0.012,0.3561,0.3279,0.0282,14.0,0.6815
denoising,65,0.9,0.5,True,False,0.1732,0.2013,-0.0281,0.2257,0.2776,-0.0519,52.0,0.5235
denoising,65,0.9,0.6,True,False,0.2283,0.2293,-0.001,0.2846,0.3192,-0.0345,49.0,0.5291
