task_type,steps,threshold,corruption_rate,diffusion_bleu,baseline_bleu,bleu_delta,diffusion_rouge1,baseline_rouge1,rouge1_delta,final_masked_tokens,final_mean_confidence
denoising,3,0.9,0.1,0.3562,0.357,-0.0009,0.3993,0.4003,-0.001,5.0,0.7012
denoising,3,0.9,0.3,0.2959,0.336,-0.0401,0.3462,0.383,-0.0369,16.0,0.6668
denoising,3,0.9,0.5,0.1861,0.196,-0.0099,0.2368,0.2868,-0.05,52.0,0.5338
denoising,3,0.9,0.6,0.1595,0.17,-0.0105,0.2142,0.262,-0.0478,62.0,0.4493
denoising,5,0.9,0.1,0.3195,0.324,-0.0045,0.3774,0.384,-0.0066,6.0,0.6837
denoising,5,0.9,0.3,0.3101,0.3453,-0.0351,0.3394,0.3931,-0.0537,19.0,0.6636
denoising,5,0.9,0.5,0.2073,0.2938,-0.0865,0.2474,0.3575,-0.1101,46.0,0.575
denoising,5,0.9,0.6,0.1888,0.2018,-0.013,0.2589,0.2892,-0.0303,63.0,0.4827
denoising,10,0.9,0.1,0.358,0.3629,-0.0049,0.3987,0.4059,-0.0072,4.0,0.6931
denoising,10,0.9,0.3,0.284,0.3582,-0.0742,0.3209,0.3901,-0.0691,19.0,0.6689
denoising,10,0.9,0.5,0.2295,0.2545,-0.025,0.2701,0.3142,-0.0441,37.0,0.5869
denoising,10,0.9,0.6,0.2117,0.2335,-0.0218,0.2569,0.3031,-0.0462,48.0,0.5627
denoising,15,0.9,0.1,0.3855,0.4188,-0.0333,0.4005,0.434,-0.0335,7.0,0.695
denoising,15,0.9,0.3,0.2658,0.2816,-0.0158,0.3268,0.35,-0.0232,21.0,0.6557
denoising,15,0.9,0.5,0.1822,0.2681,-0.0859,0.2421,0.3457,-0.1036,34.0,0.6099
denoising,15,0.9,0.6,0.163,0.177,-0.014,0.2093,0.2339,-0.0246,60.0,0.4894
denoising,20,0.9,0.1,0.3742,0.4324,-0.0583,0.3911,0.4458,-0.0547,8.0,0.7073
denoising,20,0.9,0.3,0.2817,0.3418,-0.0601,0.3093,0.3854,-0.0761,18.0,0.6797
denoising,20,0.9,0.5,0.1801,0.2014,-0.0213,0.2312,0.2827,-0.0515,41.0,0.5857
denoising,20,0.9,0.6,0.1491,0.1567,-0.0075,0.1831,0.2025,-0.0194,58.0,0.4867
denoising,25,0.9,0.1,0.3736,0.3735,0.0001,0.4112,0.4112,0.0,3.0,0.7084
denoising,25,0.9,0.3,0.2352,0.2819,-0.0467,0.2985,0.3491,-0.0506,21.0,0.6622
denoising,25,0.9,0.5,0.1643,0.2167,-0.0524,0.2223,0.2756,-0.0532,38.0,0.5719
denoising,25,0.9,0.6,0.1936,0.2326,-0.039,0.2277,0.2926,-0.0649,60.0,0.4914
denoising,30,0.9,0.1,0.3984,0.4279,-0.0295,0.4116,0.4411,-0.0296,2.0,0.6992
denoising,30,0.9,0.3,0.2652,0.2773,-0.0121,0.3128,0.3487,-0.0359,22.0,0.6493
denoising,30,0.9,0.5,0.1796,0.191,-0.0114,0.2291,0.2509,-0.0218,44.0,0.5394
denoising,30,0.9,0.6,0.1671,0.1638,0.0033,0.2186,0.2133,0.0054,57.0,0.4931
